"CITY_NAME","YEAR","CRACK_INDEX","STATEFP","COUNTYFP","GEOID"
"SYRACUS","2000","0.276178","36","067","36067"
"TACOMA","2000","1.458895","53","229","53229"
"TAMPA","2000","0.526532","12","057","12057"
"TOLEDO","2000","0.500413","39","117","39117"
"TOPEKA","2000","0.203633","20","177","20177"
"TORRANC","2000","0.563575","06","037","06037"
"TUCSON","2000","2.727109","04","019","04019"
"TULSA","2000","0.184193","40","139","40139"
"VIRGINIA_B","2000","0.043826","51","810","51810"
"WARREN","2000","0.105995",NA,NA,NA
"WASHINGT","2000","0.807234","11","001","11001"
"WICHITA","2000","0.132829","20","115","20115"
"WINSTON-","2000","0.411484","37","117","37117"
"WORCEST","2000","1.355783","25","047","25047"
"YONKERS","2000","1.508428","36","119","36119"
