"CITY_NAME","YEAR","CRACK_INDEX","STATEFP","COUNTYFP","GEOID"
"TACOMA","1989","0.146406","53","229","53229"
"TAMPA","1989","0.854359","12","057","12057"
"TOLEDO","1989","0.488438","39","117","39117"
"TOPEKA","1989","0.037187","20","177","20177"
"TORRANC","1989","1.17268","06","037","06037"
"TUCSON","1989","1.590483","04","019","04019"
"TULSA","1989","0.255545","40","139","40139"
"VIRGINIA_B","1989","0.006642","51","810","51810"
"WARREN","1989","0.396449","36","043","36043"
"WASHINGT","1989","3.182655","11","001","11001"
"WICHITA","1989","0.010023","20","115","20115"
"WINSTON-","1989","0.141811","37","117","37117"
"WORCEST","1989","0.747424","25","047","25047"
"YONKERS","1989","3.242202","36","119","36119"
